,date_new,PM2.5_avg_conc,PRCP,TAVG
580,01-08-2009,156.5,0.01,80
581,02-08-2009,80.83333333,0,81
582,03-08-2009,140.2916667,0,80
583,04-08-2009,160.625,0,75
584,05-08-2009,83.625,0.03,77
585,06-08-2009,88.86956522,0.01,78
586,07-08-2009,112,0,80
587,08-08-2009,106,0.56,78
588,09-08-2009,91.25,0,81
589,10-08-2009,80.08333333,0,85
590,11-08-2009,96.91666667,0,85
591,12-08-2009,94.41666667,0,85
592,13-08-2009,143.5833333,0,85
593,14-08-2009,212.0833333,0,84
594,15-08-2009,143.1666667,0,81
595,16-08-2009,162.75,0.17,75
596,17-08-2009,96.33333333,0,77
597,18-08-2009,139.9166667,0.83,77
598,19-08-2009,76.45833333,0,80
599,20-08-2009,45.95652174,0,80
600,21-08-2009,62.375,0,75
601,22-08-2009,34.08333333,0,75
602,23-08-2009,112.6086957,0,76
603,24-08-2009,148,0.02,75
604,25-08-2009,161.1875,0,78
605,26-08-2009,143.9166667,0,77
606,27-08-2009,74.54166667,0,76
607,28-08-2009,29.95833333,0,70
608,29-08-2009,62.875,0.01,69
609,30-08-2009,100.25,0,72
610,31-08-2009,102.6666667,0,73
611,01-09-2009,103.125,0,73
612,02-09-2009,180.625,0,75
613,03-09-2009,173.5652174,0.02,74
614,04-09-2009,171.875,0.07,75
615,05-09-2009,126.5833333,0.27,62
616,06-09-2009,22.95652174,0.15,63
617,07-09-2009,25.39130435,0,66
618,08-09-2009,59.86956522,0,69
619,09-09-2009,75.08333333,0,72
620,10-09-2009,90.47826087,0,71
621,11-09-2009,42.375,0,75
622,12-09-2009,12.70833333,0,71
623,13-09-2009,64.7826087,0,72
624,14-09-2009,121.7916667,0,73
625,15-09-2009,57.66666667,0,72
626,16-09-2009,170.1666667,0,72
627,17-09-2009,123.25,0,71
628,18-09-2009,126.75,0,69
629,19-09-2009,104.25,0.2,64
630,20-09-2009,98,0,67
631,21-09-2009,47.04166667,0,66
632,22-09-2009,85.375,0,68
633,23-09-2009,109.125,0,70
634,24-09-2009,157.4166667,0,71
635,25-09-2009,240.875,0.2,69
636,26-09-2009,84.91666667,0.01,69
637,27-09-2009,103.6666667,0,70
638,28-09-2009,91.58333333,0,67
639,29-09-2009,178.5416667,0,68
640,30-09-2009,196.4166667,0.01,73
641,01-10-2009,60.04166667,0,69
642,02-10-2009,16.33333333,0,67
643,03-10-2009,16.66666667,0,63
644,04-10-2009,28.25,0,64
645,05-10-2009,99.45833333,0,62
646,06-10-2009,72.58333333,0,58
647,07-10-2009,61.41666667,0,60
648,08-10-2009,82.625,0,60
649,09-10-2009,102.25,0,60
650,10-10-2009,89.625,0,60
651,11-10-2009,151.2083333,0,61
652,12-10-2009,131.375,0,64
653,13-10-2009,18.16666667,0,63
654,14-10-2009,34.95833333,0,63
655,15-10-2009,98.04166667,0,60
656,16-10-2009,110.7083333,0,61
657,17-10-2009,49.33333333,0,54
658,18-10-2009,124.2083333,0,51
659,19-10-2009,25.79166667,0,53
660,20-10-2009,95.625,0,57
661,21-10-2009,82.79166667,0,61
662,22-10-2009,89.125,0,58
663,23-10-2009,212.25,0,59
664,24-10-2009,202.5,0,58
665,25-10-2009,255.2222222,0,59
666,26-10-2009,44.33333333,0,55
667,27-10-2009,89.83333333,0,56
668,28-10-2009,182.25,0,58
669,29-10-2009,266,0.03,51
670,30-10-2009,91.625,0.19,47
671,31-10-2009,44.43478261,0.62,32
672,01-11-2009,26.45833333,0,30
673,02-11-2009,19.125,0,35
674,03-11-2009,115.9166667,0,41
675,04-11-2009,215.9090909,0,45
676,05-11-2009,261.125,0,46
677,06-11-2009,420.375,0,47
678,07-11-2009,486.875,0,49
679,08-11-2009,272,0,38
680,09-11-2009,43.91304348,0.21,32
681,10-11-2009,32.41666667,0,36
682,11-11-2009,40.20833333,0.2,33
683,12-11-2009,62.54166667,0,33
684,13-11-2009,99.04166667,0,34
685,14-11-2009,17.75,0,28
686,15-11-2009,14.76190476,0,28
687,16-11-2009,NA,0,32
688,17-11-2009,NA,0,32
689,18-11-2009,21.75,0,32
690,19-11-2009,42.41666667,0,35
691,20-11-2009,47.29166667,0,31
692,21-11-2009,109.5,0,33
693,22-11-2009,225.125,0,36
694,23-11-2009,312.1666667,0,44
695,24-11-2009,244.375,0,37
696,25-11-2009,138.5833333,0,36
697,26-11-2009,182,0,36
698,27-11-2009,181.4583333,0,32
699,28-11-2009,199.5833333,0,35
700,29-11-2009,276.3333333,0,37
701,30-11-2009,128.4583333,0,35
702,01-12-2009,104.7083333,0,37
703,02-12-2009,134.5416667,0,33
704,03-12-2009,74.83333333,0,33
705,04-12-2009,100.9583333,0,29
706,05-12-2009,66.125,0,29
707,06-12-2009,169.25,0,29
708,07-12-2009,282.75,0,34
709,08-12-2009,217.6666667,0,34
710,09-12-2009,222.7083333,0,35
711,10-12-2009,280.875,0,36
712,11-12-2009,95.04166667,0,31
713,12-12-2009,53,0,33
714,13-12-2009,120.1666667,0,30
715,14-12-2009,58.91666667,0,27
716,15-12-2009,32.83333333,0,26
717,16-12-2009,32.125,0,23
718,17-12-2009,17.75,0,23
719,18-12-2009,15.625,0,24
720,19-12-2009,15.375,0,29
721,20-12-2009,15.71428571,0,25
722,21-12-2009,103,0,30
723,22-12-2009,120.25,0,29
724,23-12-2009,148.8333333,0,31
725,24-12-2009,154,0,18
726,25-12-2009,NA,0,16
727,26-12-2009,NA,0,21
728,27-12-2009,NA,0,18
729,28-12-2009,220.5,0,26
730,29-12-2009,116.25,0,23
731,30-12-2009,22.5,0,19
732,31-12-2009,56.29166667,0,23
734,01-01-2010,NA,0.39,17
735,02-01-2010,145.9583333,0,13
736,03-01-2010,78.83333333,0,9
737,04-01-2010,31.33333333,0,12
738,05-01-2010,42.45833333,0,15
739,06-01-2010,56.41666667,0,14
740,07-01-2010,69,0,19
741,08-01-2010,176.2083333,0,19
